hid_pes,puid_pes,forename_pes,middlenm_pes,last_name_pes,names_pes,province_pes,district_pes,sector_pes,cellule_pes,village_pes,month_pes,year_pes,age_pes,HoH_pes,marstat_pes,marstatdesc_pes,relationship_pes,sex_pes,telephone_pes,lat_pes,long_pes,full_loc_pes,EAid_pes,DSid_pes,dob_pes
3,PES_14T047880773,BORIS,nan,MUHIRWA,BORIS  MUHIRWA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,3.0,1978.0,45.0,CAPTONE SHYAKA,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5.0,M,nan,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO,3.0/1978.0
4,PES_18Y756928142,PACIFIC,nan,NDAGIJIMANA,PACIFIC  NDAGIJIMANA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,nan,nan,95.0,PACIFIC NDAGIJIMANA,7.0,WIDOWED,9.0,M,4973533427.0,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO,nan/nan
4,PES_1EI719242160,ARTHUR,nan,IRANKUNDA,ARTHUR  IRANKUNDA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,11.0,1974.0,49.0,PACIFIC NDAGIJIMANA,3.0,LIVE IN A POLYGAMOUS UNION,3.0,M,4973533427.0,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO,11.0/1974.0
4,PES_1GD532237176,ABEL,nan,PIERRE,ABEL  PIERRE,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,nan,1967.0,57.0,PACIFIC NDAGIJIMANA,5.0,SEPARATED,2.0,M,4973533427.0,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO,nan/1967.0
5,PES_1JK664679330,BOB,nan,CYPRIEN,BOB  CYPRIEN,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,12.0,2007.0,15.0,RUHUMURIZA NIYONSABA,nan,nan,5.0,M,4179948675.0,-2.769906906,29.51738749,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE,12.0/2007.0
5,PES_1KS862729097,MIHIGO,nan,BIZIMANA,MIHIGO  BIZIMANA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,9.0,nan,24.0,RUHUMURIZA NIYONSABA,4.0,DIVORCED,1.0,M,4179948675.0,-2.769906906,29.51738749,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE,9.0/nan
5,PES_1YQ368637470,RUHUMURIZA,nan,NIYONSABA,RUHUMURIZA  NIYONSABA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,2.0,1951.0,52.0,RUHUMURIZA NIYONSABA,7.0,WIDOWED,nan,M,4179948675.0,-2.769906906,29.51738749,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE,2.0/1951.0
6,PES_20T980747706,TRESOR,HAGAI,BIENVENU,TRESOR HAGAI BIENVENU,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,7.0,1970.0,9.0,RODRIGUE ANGE,6.0,NEVER MARRIED,10.0,M,8007099314.0,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,7.0/1970.0
6,PES_2AR510329821,RODRIGUE,nan,ANGE,RODRIGUE  ANGE,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,4.0,1938.0,85.0,RODRIGUE ANGE,4.0,DIVORCED,13.0,M,8007099314.0,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,4.0/1938.0
6,PES_2DM676695622,OBED,LOUIS,GERMAIN,OBED LOUIS GERMAIN,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,10.0,2004.0,18.0,RODRIGUE ANGE,4.0,DIVORCED,10.0,M,8007099314.0,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,10.0/2004.0
6,PES_2FP499829763,ROSINE,nan,SHYAKA,ROSINE  SHYAKA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,3.0,1930.0,15.0,RODRIGUE ANGE,6.0,NEVER MARRIED,3.0,F,8007099314.0,-2.584035129,29.83699636,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,3.0/1930.0
6,PES_2GD566899259,JOSEE,BAKHITA,UWIZEYIMANA,JOSEE BAKHITA UWIZEYIMANA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,9.0,1962.0,60.0,RODRIGUE ANGE,6.0,NEVER MARRIED,2.0,F,8007099314.0,-2.584035129,29.83699636,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,9.0/1962.0
6,PES_2JL058378386,GAEL,nan,nan,GAEL  ,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,7.0,2009.0,13.0,RODRIGUE ANGE,6.0,NEVER MARRIED,3.0,M,8007099314.0,-2.584035129,29.83699636,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,7.0/2009.0
7,PES_2KP260446094,ANITHA,nan,KAYITARE,ANITHA  KAYITARE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,12.0,1938.0,86.0,DERRICK SYLVESTRE,7.0,WIDOWED,9.0,F,1579654132.0,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,12.0/1938.0
7,PES_2ZF944688402,GABLIEL,nan,KAREMERA,GABLIEL  KAREMERA,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,7.0,1926.0,96.0,DERRICK SYLVESTRE,5.0,SEPARATED,11.0,M,1579654132.0,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,7.0/1926.0
7,PES_36M147486551,DERRICK,nan,SYLVESTRE,DERRICK  SYLVESTRE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,nan,1924.0,98.0,DERRICK SYLVESTRE,3.0,LIVE IN A POLYGAMOUS UNION,3.0,M,1579654132.0,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,nan/1924.0
7,PES_3BJ127540951,JEAN,FRANCOIS,ELIAS,JEAN FRANCOIS ELIAS,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,1.0,1978.0,45.0,DERRICK SYLVESTRE,5.0,SEPARATED,4.0,M,1579654132.0,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,1.0/1978.0
8,PES_3KY581042298,CLAUDINE,nan,HABYARIMANA,CLAUDINE  HABYARIMANA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,11.0,1989.0,33.0,DIVINE NIYONSABA,5.0,SEPARATED,10.0,F,6496777626.0,-2.7048929210000003,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA,11.0/1989.0
8,PES_3OF723803597,JOSEE,nan,NKUSI,JOSEE  NKUSI,SOUTH,HUYE,KIGOMA,KABATWA,BUREMERA,nan,1992.0,30.0,DIVINE NIYONSABA,nan,nan,11.0,F,6496777626.0,-2.7048929210000003,29.02596462,RWANDA HUYE KIGOMA KABATWA BUREMERA,KABATWABUREMERA,HUYEKIGOMA,nan/1992.0
8,PES_3S1381142711,DIVINE,nan,NIYONSABA,DIVINE  NIYONSABA,KIGALI,KICUKIRO,MASAKA,GAKO,GIHUKE,nan,1969.0,53.0,DIVINE NIYONSABA,5.0,SEPARATED,nan,F,6496777626.0,-2.7048929210000003,29.02596462,RWANDA KICUKIRO MASAKA GAKO GIHUKE,GAKOGIHUKE,KICUKIROMASAKA,nan/1969.0
9,PES_3ZP934504863,HABY,nan,MUNYANEZA,HABY  MUNYANEZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,3.0,1957.0,65.0,HABY MUNYANEZA,4.0,DIVORCED,9.0,M,1749166998.0,-1.956647295,30.05535943,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,3.0/1957.0
12,PES_4SW879532625,AMAH,nan,GATO,AMAH  GATO,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,12.0,1974.0,48.0,MUSHIMIYIMANA KAMANZI,4.0,DIVORCED,1.0,F,4513594260.0,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,12.0/1974.0
12,PES_4UP543875428,DIMER,nan,THEOPHILE,DIMER  THEOPHILE,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,9.0,nan,20.0,MUSHIMIYIMANA KAMANZI,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3.0,M,4513594260.0,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,9.0/nan
12,PES_4VJ633973504,JAMES,nan,SONGA,JAMES  SONGA,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,4.0,1999.0,23.0,MUSHIMIYIMANA KAMANZI,nan,nan,5.0,M,4513594260.0,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,4.0/1999.0
12,PES_53N540090152,MUSHIMIYIMANA,nan,KAMANZI,MUSHIMIYIMANA  KAMANZI,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,11.0,1926.0,99.0,MUSHIMIYIMANA KAMANZI,4.0,DIVORCED,10.0,M,4513594260.0,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,11.0/1926.0
13,PES_5HW484497890,KEVIN,nan,OLIVIER,KEVIN  OLIVIER,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,10.0,1986.0,36.0,NKURUNZIZA KARANGWA,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,2.0,nan,8737499840.0,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,10.0/1986.0
13,PES_5LG388881446,PACY,nan,NDAYISABA,PACY  NDAYISABA,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,6.0,1977.0,45.0,NKURUNZIZA KARANGWA,7.0,WIDOWED,nan,M,8737499840.0,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,6.0/1977.0
13,PES_5SL201853858,NDABARINZE,nan,FRANCOIS,NDABARINZE  FRANCOIS,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,nan,2010.0,12.0,NKURUNZIZA KARANGWA,6.0,NEVER MARRIED,5.0,M,8737499840.0,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,nan/2010.0
13,PES_5VE057493960,NKURUNZIZA,nan,KARANGWA,NKURUNZIZA  KARANGWA,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,10.0,1976.0,46.0,NKURUNZIZA KARANGWA,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3.0,M,8737499840.0,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,10.0/1976.0
15,PES_6QZ002898676,GLORIA,nan,MUHIRE,GLORIA  MUHIRE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,12.0,2009.0,13.0,MUNEZERO KALISA,6.0,NEVER MARRIED,12.0,F,3978297179.0,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,12.0/2009.0
15,PES_6TS583082885,MUNEZERO,nan,KALISA,MUNEZERO  KALISA,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,nan,1927.0,29.0,MUNEZERO KALISA,5.0,SEPARATED,4.0,M,3978297179.0,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,nan/1927.0
15,PES_6UJ306854143,JULIUS,nan,ETIENNE,JULIUS  ETIENNE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,nan,1998.0,26.0,MUNEZERO KALISA,5.0,SEPARATED,6.0,M,3978297179.0,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,nan/1998.0
16,PES_6XB907569292,MBONYINSHUTI,nan,HABINEZA,MBONYINSHUTI  HABINEZA,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,nan,2021.0,4.0,VINCENT MUREKATETE,6.0,NEVER MARRIED,5.0,M,5862489732.0,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,nan/2021.0
16,PES_7GA448953578,nan,nan,MUREKATETE,  MUREKATETE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,nan,nan,56.0,VINCENT MUREKATETE,7.0,WIDOWED,7.0,M,5862489732.0,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,nan/nan
16,PES_7HF019939250,ETE,ELE,GRACE,ETE ELE GRACE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,1.0,1974.0,48.0,VINCENT MUREKATETE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3.0,M,5862489732.0,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,1.0/1974.0
16,PES_7IV820457456,DIOCLES,nan,SAM,DIOCLES  SAM,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,nan,nan,15.0,VINCENT MUREKATETE,6.0,NEVER MARRIED,4.0,M,5862489732.0,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,nan/nan
17,PES_7JV544732594,CHRITE,CLAUD,MUHOZA,CHRITE CLAUD MUHOZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,8.0,1961.0,61.0,ALICE MUGABE,3.0,LIVE IN A POLYGAMOUS UNION,2.0,M,nan,-1.955065829,30.05469278,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,8.0/1961.0
17,PES_7KZ682171735,SONIA,nan,MUKESHIMANA,SONIA  MUKESHIMANA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,5.0,1968.0,54.0,ALICE MUGABE,4.0,DIVORCED,nan,M,nan,-1.955065829,30.05469278,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,5.0/1968.0
17,PES_7RH706674959,ALICE,nan,MUGABE,ALICE  MUGABE,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,5.0,2020.0,88.0,ALICE MUGABE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,4.0,F,nan,-1.955065829,30.05469278,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,5.0/2020.0
18,PES_7V6783789155,FABRICE,nan,ERASTE,FABRICE  ERASTE,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,9.0,nan,60.0,JOSE MOHAMED,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,13.0,M,8547963669.0,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,9.0/nan
18,PES_7XC490828730,JOSE,nan,MOHAMED,JOSE  MOHAMED,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,8.0,1929.0,64.0,JOSE MOHAMED,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,12.0,F,8547963669.0,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,8.0/1929.0
18,PES_87P391881977,KARAHA,nan,nan,KARAHA  ,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,nan,1999.0,53.0,JOSE MOHAMED,6.0,NEVER MARRIED,12.0,M,8547963669.0,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,nan/1999.0
18,PES_8DY642485579,IMMACULEE,nan,MUVUNYI,IMMACULEE  MUVUNYI,WEST,KARONGI,GASHARI,BIRAMBO,NYABIKENKE,nan,nan,16.0,JOSE MOHAMED,6.0,NEVER MARRIED,8.0,F,8547963669.0,-2.169585553,30.06711131,RWANDA KARONGI GASHARI BIRAMBO NYABIKENKE,BIRAMBONYABIKENKE,KARONGIGASHARI,nan/nan
19,PES_8EE128541166,NIYONYUGURA,nan,JUDITH,NIYONYUGURA  JUDITH,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,nan,1941.0,82.0,NADEGE HAKIZIMANA,7.0,WIDOWED,3.0,F,1316636107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,nan/1941.0
19,PES_8HE474162659,NHMIE,SAMUE,NIYONSABA,NHMIE SAMUE NIYONSABA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,3.0,2020.0,2.0,NADEGE HAKIZIMANA,6.0,NEVER MARRIED,5.0,M,1316636107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,3.0/2020.0
19,PES_8K6946221121,NADEGE,nan,HAKIZIMANA,NADEGE  HAKIZIMANA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,6.0,1923.0,99.0,NADEGE HAKIZIMANA,nan,nan,nan,F,1316636107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,6.0/1923.0
19,PES_8L8228203851,TOM,RICHAR,NKUSI,TOM RICHAR NKUSI,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,nan,nan,79.0,NADEGE HAKIZIMANA,7.0,WIDOWED,6.0,M,1316636107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,nan/nan
20,PES_8PT539952460,EVO,nan,MUKESHIMANA,EVO  MUKESHIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,nan,1993.0,29.0,GLADYS RUKUNDO,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,11.0,M,8082130004.0,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,nan/1993.0
20,PES_8QM252146807,MUTABAZI,nan,MATABARO,MUTABAZI  MATABARO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,nan,2010.0,12.0,GLADYS RUKUNDO,6.0,NEVER MARRIED,10.0,M,8082130004.0,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,nan/2010.0
20,PES_8RG640390691,GLADYS,nan,RUKUNDO,GLADYS  RUKUNDO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,11.0,2006.0,54.0,GLADYS RUKUNDO,3.0,LIVE IN A POLYGAMOUS UNION,9.0,F,8082130004.0,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,11.0/2006.0
20,PES_8YN352907501,VINCENT,nan,UWIZEYIMANA,VINCENT  UWIZEYIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,nan,2007.0,25.0,GLADYS RUKUNDO,7.0,WIDOWED,6.0,M,8082130004.0,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,nan/2007.0
21,PES_95E745534607,NTWALI,nan,MBABAZI,NTWALI  MBABAZI,NORTH,BURERA,BUTARO,MUHOTORA,GAHUNGE,nan,2003.0,19.0,AMANI UMUTESI,3.0,LIVE IN A POLYGAMOUS UNION,3.0,M,9199909382.0,-1.4045428780000002,29.84082536,RWANDA BURERA BUTARO MUHOTORA GAHUNGE,MUHOTORAGAHUNGE,BURERABUTARO,nan/2003.0
21,PES_9HX437821826,THACIENNE,nan,KWIZERA,THACIENNE  KWIZERA,NORTH,BURERA,BUTARO,MUHOTORA,GAHUNGE,7.0,2015.0,10.0,AMANI UMUTESI,6.0,NEVER MARRIED,5.0,F,9199909382.0,-1.4045428780000002,29.84082536,RWANDA BURERA BUTARO MUHOTORA GAHUNGE,MUHOTORAGAHUNGE,BURERABUTARO,7.0/2015.0
21,PES_9JR791868790,AMANI,nan,UMUTESI,AMANI  UMUTESI,NORTH,BURERA,BUTARO,MUHOTORA,GAHUNGE,6.0,nan,47.0,AMANI UMUTESI,nan,nan,nan,M,9199909382.0,-1.4045428780000002,29.84082536,RWANDA BURERA BUTARO MUHOTORA GAHUNGE,MUHOTORAGAHUNGE,BURERABUTARO,6.0/nan
