hid_cen,puid_cen,forename_cen,middlenm_cen,last_name_cen,names_cen,province_cen,district_cen,sector_cen,cellule_cen,village_cen,month_cen,year_cen,age_cen,HoH_cen,marstat_cen,marstatdesc_cen,relationship_cen,sex_cen,telephone_cen,lat_cen,long_cen,full_loc_cen,EAid_cen,DSid_cen,dob_cen
10,CEN_45E912478428,KANA,KA,CLEMENT,KANA KA CLEMENT,EAST,RWAMAGANA,FUMBWE,NYAGASAMBU,MATABA,nan,1962.0,60,CONSTANTIN NZEYIMANA,5.0,SEPARATED,10.0,M,nan,-1.8610319,30.28969291,RWANDA RWAMAGANA FUMBWE NYAGASAMBU MATABA,NYAGASAMBUMATABA,RWAMAGANAFUMBWE,nan/1962.0
10,CEN_4BT598567171,CONSTANTIN,nan,NZEYIMANA,CONSTANTIN  NZEYIMANA,EAST,RWAMAGANA,FUMBWE,NYAGASAMBU,MATABA,5.0,nan,82,CONSTANTIN NZEYIMANA,5.0,SEPARATED,3.0,M,nan,-1.8610319,30.28969291,RWANDA RWAMAGANA FUMBWE NYAGASAMBU MATABA,NYAGASAMBUMATABA,RWAMAGANAFUMBWE,5.0/nan
11,CEN_4G4638881156,MEDARD,nan,GAJU,MEDARD  GAJU,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,10.0,1923.0,99,MEDARD GAJU,3.0,LIVE IN A POLYGAMOUS UNION,2.0,M,nan,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,10.0/1923.0
11,CEN_4HA673585941,THERESE,nan,UMUTESI,THERESE  UMUTESI,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,nan,nan,87,MEDARD GAJU,6.0,NEVER MARRIED,7.0,F,nan,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,nan/nan
11,CEN_4JT886014993,DIDIER,SERGE,FRED,DIDIER SERGE FRED,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,2.0,1972.0,38,MEDARD GAJU,4.0,DIVORCED,11.0,M,nan,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,2.0/1972.0
11,CEN_4QF788372825,MATABARO,nan,HARERIMANA,MATABARO  HARERIMANA,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,1.0,1961.0,61,MEDARD GAJU,nan,nan,2.0,M,nan,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,1.0/1961.0
11,CEN_4S0365148555,STIVEN,nan,JANVIER,STIVEN  JANVIER,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,9.0,2002.0,20,MEDARD GAJU,3.0,LIVE IN A POLYGAMOUS UNION,nan,M,nan,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,9.0/2002.0
12,CEN_4SW879532625,AMAHORO,nan,GATO,AMAHORO  GATO,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,nan,1974.0,48,MUSHIMIYIMANA KAMANZI,4.0,DIVORCED,1.0,F,4513594260.0,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,nan/1974.0
12,CEN_4UP543875428,DIMER,nan,THEOPHILE,DIMER  THEOPHILE,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,11.0,2002.0,20,MUSHIMIYIMANA KAMANZI,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3.0,M,4513594260.0,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,11.0/2002.0
12,CEN_4VJ633973504,JAMES,nan,SONGA,JAMES  SONGA,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,nan,1999.0,25,MUSHIMIYIMANA KAMANZI,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5.0,M,4513594260.0,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,nan/1999.0
12,CEN_53N540090152,nan,nan,KAMANZI,  KAMANZI,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,11.0,1926.0,96,MUSHIMIYIMANA KAMANZI,4.0,DIVORCED,nan,M,4513594260.0,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU,11.0/1926.0
13,CEN_5HW484497890,KEVIN,nan,OLIVIER,KEVIN  OLIVIER,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,10.0,nan,36,NKURUNZIZA KARANGWA,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,2.0,M,nan,-1.8073740980000002,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,10.0/nan
13,CEN_5LG388881446,PACY,nan,nan,PACY  ,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,6.0,1977.0,45,NKURUNZIZA KARANGWA,7.0,WIDOWED,9.0,M,nan,-1.8073740980000002,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,6.0/1977.0
13,CEN_5SL201853858,NDABARINZE,nan,FRANCOIS,NDABARINZE  FRANCOIS,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,2.0,2010.0,12,NKURUNZIZA KARANGWA,nan,nan,5.0,M,nan,-1.8073740980000002,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,2.0/2010.0
13,CEN_5VE057493960,NKURUNZIZA,nan,KARANGWA,NKURUNZIZA  KARANGWA,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,7.0,1976.0,46,NKURUNZIZA KARANGWA,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3.0,M,nan,-1.8073740980000002,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE,7.0/1976.0
14,CEN_5XL871438880,RONGIN,nan,KAMUGISHA,RONGIN  KAMUGISHA,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,3.0,2019.0,3,MUVUNYI ESPERANCE,6.0,NEVER MARRIED,12.0,M,nan,-1.7690755269999998,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA,3.0/2019.0
14,CEN_66S633342545,MUVUNYI,nan,ESPERANCE,MUVUNYI  ESPERANCE,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,2.0,1961.0,61,MUVUNYI ESPERANCE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5.0,M,9392527397.0,-1.7690755269999998,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA,2.0/1961.0
14,CEN_6CX513023367,DOLLZ,nan,PATEL,DOLLZ  PATEL,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,nan,1989.0,33,MUVUNYI ESPERANCE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,13.0,M,9392527397.0,-1.7690755269999998,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA,nan/1989.0
14,CEN_6JF604957982,BONIFACE,nan,UWITONZE,BONIFACE  UWITONZE,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,9.0,nan,57,MUVUNYI ESPERANCE,6.0,NEVER MARRIED,6.0,M,9392527397.0,-1.7690755269999998,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA,9.0/nan
15,CEN_6QZ002898676,GLORIA,nan,MUHIRE,GLORIA  MUHIRE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,4.0,nan,13,MUNEZERO KALISA,6.0,NEVER MARRIED,12.0,F,nan,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,4.0/nan
15,CEN_6TS583082885,MUNEZERO,nan,KALISA,MUNEZERO  KALISA,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,nan,1993.0,30,MUNEZERO KALISA,5.0,SEPARATED,4.0,M,nan,-1.589696011,29.55801494,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,nan/1993.0
15,CEN_6UJ306854143,JULIUS,nan,ETIENE,JULIUS  ETIENE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,nan,1996.0,24,MUNEZERO KALISA,5.0,SEPARATED,6.0,M,nan,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA,nan/1996.0
16,CEN_6XB907569292,MBONYINSHUTI,nan,HABINEZA,MBONYINSHUTI  HABINEZA,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,nan,2021.0,3,VINCENT MUREKATETE,6.0,NEVER MARRIED,5.0,M,2119419502.0,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,nan/2021.0
16,CEN_7GA448953578,VINCENT,nan,MUREKATETE,VINCENT  MUREKATETE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,2.0,1966.0,56,VINCENT MUREKATETE,7.0,WIDOWED,7.0,M,2119419502.0,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,2.0/1966.0
16,CEN_7HF019939250,ETE,ELE,GRACE,ETE ELE GRACE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,nan,1974.0,48,VINCENT MUREKATETE,nan,nan,3.0,M,2119419502.0,-2.359252401,29.75094535,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,nan/1974.0
16,CEN_7IV820457456,DIOCLES,nan,SAM,DIOCLES  SAM,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,nan,2007.0,15,VINCENT MUREKATETE,6.0,NEVER MARRIED,4.0,M,2119419502.0,-2.359252401,29.75094535,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA,nan/2007.0
17,CEN_7JV544732594,CHRITES,CLAUD,MUHOZA,CHRITES CLAUD MUHOZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,nan,nan,64,ALICE MUGABE,3.0,LIVE IN A POLYGAMOUS UNION,2.0,M,nan,-1.9559450809999999,30.05471424,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,nan/nan
17,CEN_7KZ682171735,SONIA,nan,MUKESHIMANA,SONIA  MUKESHIMANA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,4.0,nan,54,ALICE MUGABE,4.0,DIVORCED,4.0,F,nan,-1.9559450809999999,30.05471424,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,4.0/nan
17,CEN_7RH706674959,ALICE,nan,MUGABE,ALICE  MUGABE,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,7.0,2017.0,88,ALICE MUGABE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,4.0,F,nan,-1.9559450809999999,30.05471424,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,7.0/2017.0
18,CEN_7V6783789155,FABRICE,nan,ERASTE,FABRICE  ERASTE,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,6.0,1964.0,58,JOSE MOHAMED,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,13.0,M,5111568962.0,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,6.0/1964.0
18,CEN_7XC490828730,JOSE,nan,MOHAMED,JOSE  MOHAMED,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,10.0,1946.0,64,JOSE MOHAMED,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,12.0,M,5111568962.0,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,10.0/1946.0
18,CEN_87P391881977,KARAHA,nan,DONAT,KARAHA  DONAT,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,11.0,nan,53,JOSE MOHAMED,6.0,NEVER MARRIED,12.0,nan,5111568962.0,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,11.0/nan
18,CEN_8DY642485579,IMACULE,nan,MUVUNYI,IMACULE  MUVUNYI,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,7.0,1930.0,16,JOSE MOHAMED,6.0,NEVER MARRIED,8.0,F,5111568962.0,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA,7.0/1930.0
19,CEN_8EE128541166,NIYONYUGURA,nan,JUDITH,NIYONYUGURA  JUDITH,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,5.0,1941.0,81,NADEGE HAKIZIMANA,nan,nan,nan,F,1316436107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,5.0/1941.0
19,CEN_8HE474162659,NHMIE,SAMUE,NIYONSABA,NHMIE SAMUE NIYONSABA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,8.0,2020.0,5,NADEGE HAKIZIMANA,6.0,NEVER MARRIED,5.0,M,1316436107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,8.0/2020.0
19,CEN_8K6946221121,NADEGE,nan,HAKIZIMANA,NADEGE  HAKIZIMANA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,nan,1923.0,99,NADEGE HAKIZIMANA,3.0,LIVE IN A POLYGAMOUS UNION,12.0,F,1316436107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,nan/1923.0
19,CEN_8L8228203851,TOM,RICHAR,NKUSI,TOM RICHAR NKUSI,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,9.0,1943.0,79,NADEGE HAKIZIMANA,7.0,WIDOWED,6.0,M,1316436107.0,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA,9.0/1943.0
20,CEN_8PT539952460,EVODE,nan,MUKESHIMANA,EVODE  MUKESHIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,nan,1993.0,29,GLADYS RUKUNDO,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,11.0,M,nan,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,nan/1993.0
20,CEN_8QM252146807,MUTABAZI,nan,MATABARO,MUTABAZI  MATABARO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,4.0,2010.0,12,GLADYS RUKUNDO,6.0,NEVER MARRIED,10.0,M,nan,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,4.0/2010.0
20,CEN_8RG640390691,GLADYS,nan,RUKUNDO,GLADYS  RUKUNDO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,4.0,1968.0,54,GLADYS RUKUNDO,3.0,LIVE IN A POLYGAMOUS UNION,9.0,F,nan,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA,4.0/1968.0
