hid,puid,forename,middlenm,last_name,names,province,district,sector,cellule,village,month,year,age,HoH,marstat,marstatdesc,relationship,sex,telephone,lat,long,full_loc,Eaid,Dsid
8,3OF723803597,JOSEE,,NKUSI,JOSEE  NKUSI,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,6,1992,30,DIVINE NIYONSABA,3,LIVE IN A POLYGAMOUS UNION,11,F,6496777626,-2.704892921,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA
8,3S1381142711,DIVINE,,NIYONSABA,DIVINE  NIYONSABA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,,1969,53,DIVINE NIYONSABA,5,SEPARATED,13,F,6496777626,-2.704892921,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA
9,3ZP934504863,HABY,,MYANEZA,HABY  MYANEZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,9,,65,HABY MUNYANEZA,4,DIVORCED,9,M,,-1.956647295,30.05535943,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
10,40S561683784,NIYONYUGURA,,NDAYISHIMIYE,NIYONYUGURA  NDAYISHIMIYE,EAST,RWAMAGANA,FUMBWE,NYAGASAMBU,MATABA,5,2014,8,CONSTANTIN NZEYIMANA,6,NEVER MARRIED,12,M,,-1.8610319,30.28969291,RWANDA RWAMAGANA FUMBWE NYAGASAMBU MATABA,NYAGASAMBUMATABA,RWAMAGANAFUMBWE
10,45E912478428,KANA,KA,CLEMENT,KANA KA CLEMENT,EAST,RWAMAGANA,FUMBWE,NYAGASAMBU,MATABA,,1962,60,CONSTANTIN NZEYIMANA,5,SEPARATED,10,M,,-1.8610319,30.28969291,RWANDA RWAMAGANA FUMBWE NYAGASAMBU MATABA,NYAGASAMBUMATABA,RWAMAGANAFUMBWE
10,4BT598567171,CONSTANTIN,,NZEYIMANA,CONSTANTIN  NZEYIMANA,EAST,RWAMAGANA,FUMBWE,NYAGASAMBU,MATABA,5,,82,CONSTANTIN NZEYIMANA,5,SEPARATED,3,M,,-1.8610319,30.28969291,RWANDA RWAMAGANA FUMBWE NYAGASAMBU MATABA,NYAGASAMBUMATABA,RWAMAGANAFUMBWE
11,4G4638881156,MEDARD,,GAJU,MEDARD  GAJU,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,10,1923,99,MEDARD GAJU,3,LIVE IN A POLYGAMOUS UNION,2,M,,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
11,4HA673585941,THERESE,,UMUTESI,THERESE  UMUTESI,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,,,87,MEDARD GAJU,6,NEVER MARRIED,7,F,,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
11,4JT886014993,DIDIER,SERGE,FRED,DIDIER SERGE FRED,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,2,1972,38,MEDARD GAJU,4,DIVORCED,11,M,,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
11,4QF788372825,MATABARO,,HARERIMANA,MATABARO  HARERIMANA,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,1,1961,61,MEDARD GAJU,,,2,M,,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
11,4S0365148555,STIVEN,,JANVIER,STIVEN  JANVIER,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,9,2002,20,MEDARD GAJU,3,LIVE IN A POLYGAMOUS UNION,,M,,-2.029038097,30.10554164,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
12,4SW879532625,AMAHORO,,GATO,AMAHORO  GATO,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,,1974,48,MUSHIMIYIMANA KAMANZI,4,DIVORCED,1,F,4513594260,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
12,4UP543875428,DIMER,,THEOPHILE,DIMER  THEOPHILE,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,11,2002,20,MUSHIMIYIMANA KAMANZI,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3,M,4513594260,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
12,4VJ633973504,JAMES,,SONGA,JAMES  SONGA,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,,1999,25,MUSHIMIYIMANA KAMANZI,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5,M,4513594260,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
12,53N540090152,,,KAMANZI,  KAMANZI,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,11,1926,96,MUSHIMIYIMANA KAMANZI,4,DIVORCED,,M,4513594260,-2.652855516,29.69225021,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
13,5HW484497890,KEVIN,,OLIVIER,KEVIN  OLIVIER,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,10,,36,NKURUNZIZA KARANGWA,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,2,M,,-1.807374098,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
13,5LG388881446,PACY,,,PACY  ,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,6,1977,45,NKURUNZIZA KARANGWA,7,WIDOWED,9,M,,-1.807374098,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
13,5SL201853858,NDABARINZE,,FRANCOIS,NDABARINZE  FRANCOIS,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,2,2010,12,NKURUNZIZA KARANGWA,,,5,M,,-1.807374098,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
13,5VE057493960,NKURUNZIZA,,KARANGWA,NKURUNZIZA  KARANGWA,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,7,1976,46,NKURUNZIZA KARANGWA,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3,M,,-1.807374098,30.29627706,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
14,5XL871438880,RONGIN,,KAMUGISHA,RONGIN  KAMUGISHA,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,3,2019,3,MUVUNYI ESPERANCE,6,NEVER MARRIED,12,M,,-1.769075527,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA
14,66S633342545,MUVUNYI,,ESPERANCE,MUVUNYI  ESPERANCE,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,2,1961,61,MUVUNYI ESPERANCE,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5,M,9392527397,-1.769075527,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA
14,6CX513023367,DOLLZ,,PATEL,DOLLZ  PATEL,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,,1989,33,MUVUNYI ESPERANCE,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,13,M,9392527397,-1.769075527,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA
14,6JF604957982,BONIFACE,,UWITONZE,BONIFACE  UWITONZE,WEST,RUTSIRO,BONEZA,BUSHAKA,GASEKE,9,,57,MUVUNYI ESPERANCE,6,NEVER MARRIED,6,M,9392527397,-1.769075527,29.54940328,RWANDA RUTSIRO BONEZA BUSHAKA GASEKE,BUSHAKAGASEKE,RUTSIROBONEZA
15,6QZ002898676,GLORIA,,MUHIRE,GLORIA  MUHIRE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,4,,13,MUNEZERO KALISA,6,NEVER MARRIED,12,F,,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
15,6TS583082885,MUNEZERO,,KALISA,MUNEZERO  KALISA,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,,1993,30,MUNEZERO KALISA,5,SEPARATED,4,M,,-1.589696011,29.55801494,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
15,6UJ306854143,JULIUS,,ETIENE,JULIUS  ETIENE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,,1996,24,MUNEZERO KALISA,5,SEPARATED,6,M,,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
16,6XB907569292,MBONYINSHUTI,,HABINEZA,MBONYINSHUTI  HABINEZA,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,,2021,3,VINCENT MUREKATETE,6,NEVER MARRIED,5,M,2119419502,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
16,7GA448953578,VINCENT,,MUREKATETE,VINCENT  MUREKATETE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,2,1966,56,VINCENT MUREKATETE,7,WIDOWED,7,M,2119419502,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
16,7HF019939250,ETE,ELE,GRACE,ETE ELE GRACE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,,1974,48,VINCENT MUREKATETE,,,3,M,2119419502,-2.359252401,29.75094535,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
16,7IV820457456,DIOCLES,,SAM,DIOCLES  SAM,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,,2007,15,VINCENT MUREKATETE,6,NEVER MARRIED,4,M,2119419502,-2.359252401,29.75094535,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
17,7JV544732594,CHRITES,CLAUD,MUHOZA,CHRITES CLAUD MUHOZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,,,64,ALICE MUGABE,3,LIVE IN A POLYGAMOUS UNION,2,M,,-1.955945081,30.05471424,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
17,7KZ682171735,SONIA,,MUKESHIMANA,SONIA  MUKESHIMANA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,4,,54,ALICE MUGABE,4,DIVORCED,4,F,,-1.955945081,30.05471424,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
17,7RH706674959,ALICE,,MUGABE,ALICE  MUGABE,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,7,2017,88,ALICE MUGABE,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,4,F,,-1.955945081,30.05471424,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
18,7V6783789155,FABRICE,,ERASTE,FABRICE  ERASTE,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,6,1964,58,JOSE MOHAMED,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,13,M,5111568962,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
18,7XC490828730,JOSE,,MOHAMED,JOSE  MOHAMED,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,10,1946,64,JOSE MOHAMED,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,12,M,5111568962,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
18,87P391881977,KARAHA,,DONAT,KARAHA  DONAT,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,11,,53,JOSE MOHAMED,6,NEVER MARRIED,12,,5111568962,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
18,8DY642485579,IMACULE,,MUVUNYI,IMACULE  MUVUNYI,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,7,1930,16,JOSE MOHAMED,6,NEVER MARRIED,8,F,5111568962,-2.171713669,30.06887401,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
19,8EE128541166,NIYONYUGURA,,JUDITH,NIYONYUGURA  JUDITH,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,5,1941,81,NADEGE HAKIZIMANA,,,,F,1316436107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
19,8HE474162659,NHMIE,SAMUE,NIYONSABA,NHMIE SAMUE NIYONSABA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,8,2020,5,NADEGE HAKIZIMANA,6,NEVER MARRIED,5,M,1316436107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
19,8K6946221121,NADEGE,,HAKIZIMANA,NADEGE  HAKIZIMANA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,,1923,99,NADEGE HAKIZIMANA,3,LIVE IN A POLYGAMOUS UNION,12,F,1316436107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
19,8L8228203851,TOM,RICHAR,NKUSI,TOM RICHAR NKUSI,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,9,1943,79,NADEGE HAKIZIMANA,7,WIDOWED,6,M,1316436107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
20,8PT539952460,EVODE,,MUKESHIMANA,EVODE  MUKESHIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,,1993,29,GLADYS RUKUNDO,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,11,M,,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
20,8QM252146807,MUTABAZI,,MATABARO,MUTABAZI  MATABARO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,4,2010,12,GLADYS RUKUNDO,6,NEVER MARRIED,10,M,,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
20,8RG640390691,GLADYS,,RUKUNDO,GLADYS  RUKUNDO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,4,1968,54,GLADYS RUKUNDO,3,LIVE IN A POLYGAMOUS UNION,9,F,,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
20,8YN352907501,VINCENTO,,UWIZEYIMANA,VINCENTO  UWIZEYIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,12,,25,GLADYS RUKUNDO,7,WIDOWED,6,M,,-2.029213262,30.1055562,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
22,9MN971833804,GIANNA,,UWASE,GIANNA  UWASE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,10,,50,AKIMA KAYITESI,,,,F,,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
22,9RN477700217,MARY,,DUSABE,MARY  DUSABE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,9,2001,21,AKIMA KAYITESI,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,11,F,,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
22,9TW900288132,KALISA,,HATEGE KIMANA,KALISA  HATEGE KIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,2,2019,6,AKIMA KAYITESI,6,NEVER MARRIED,1,M,,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
22,9UM519028608,AKIMA,,KAYITESI,AKIMA  KAYITESI,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,7,1925,97,AKIMA KAYITESI,,,8,M,,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
23,9WJ374083701,ELVIN,,UWINEZA,ELVIN  UWINEZA,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,7,1978,44,HUNGURIMANA MAURICE,6,NEVER MARRIED,8,M,8502045069,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA
23,A0F522970138,DOGRATIAS,VINCENT,MICHEL,DOGRATIAS VINCENT MICHEL,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,9,2002,22,HUNGURIMANA MAURICE,5,SEPARATED,5,M,8502045069,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA
23,A28701491679,HUNGURIMANA,,MAURICE,HUNGURIMANA  MAURICE,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,3,,76,HUNGURIMANA MAURICE,5,SEPARATED,11,M,8502045069,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA
24,A44383367871,RITA,,TWAGIRAYEZU,RITA  TWAGIRAYEZU,WEST,RUSIZI,BUGARAMA,RYANKANA,KAYENZI,1,1950,66,SAMANTHA MAHORO,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,7,M,5982579619,-2.698248435,29.0211581,RWANDA RUSIZI BUGARAMA RYANKANA KAYENZI,RYANKANAKAYENZI,RUSIZIBUGARAMA
