hid,puid,forename,middlenm,last_name,names,province,district,sector,cellule,village,month,year,age,HoH,marstat,marstatdesc,relationship,sex,telephone,lat,long,full_loc,Eaid,Dsid
3,14T047880773,BORIS,,MUHIRWA,BORIS  MUHIRWA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,3,1978,45,CAPTONE SHYAKA,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,5,M,,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO
4,18Y756928142,PACIFIC,,NDAGIJIMANA,PACIFIC  NDAGIJIMANA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,,,95,PACIFIC NDAGIJIMANA,7,WIDOWED,9,M,4973533427,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO
4,1EI719242160,ARTHUR,,IRANKUNDA,ARTHUR  IRANKUNDA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,11,1974,49,PACIFIC NDAGIJIMANA,3,LIVE IN A POLYGAMOUS UNION,3,M,4973533427,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO
4,1GD532237176,ABEL,,PIERRE,ABEL  PIERRE,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,,1967,57,PACIFIC NDAGIJIMANA,5,SEPARATED,2,M,4973533427,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO
5,1JK664679330,BOB,,CYPRIEN,BOB  CYPRIEN,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,12,2007,15,RUHUMURIZA NIYONSABA,,,5,M,4179948675,-2.769906906,29.51738749,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE
5,1KS862729097,MIHIGO,,BIZIMANA,MIHIGO  BIZIMANA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,9,,24,RUHUMURIZA NIYONSABA,4,DIVORCED,1,M,4179948675,-2.769906906,29.51738749,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE
5,1YQ368637470,RUHUMURIZA,,NIYONSABA,RUHUMURIZA  NIYONSABA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,2,1951,52,RUHUMURIZA NIYONSABA,7,WIDOWED,,M,4179948675,-2.769906906,29.51738749,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE
6,20T980747706,TRESOR,HAGAI,BIENVENU,TRESOR HAGAI BIENVENU,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,7,1970,9,RODRIGUE ANGE,6,NEVER MARRIED,10,M,8007099314,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2AR510329821,RODRIGUE,,ANGE,RODRIGUE  ANGE,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,4,1938,85,RODRIGUE ANGE,4,DIVORCED,13,M,8007099314,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2DM676695622,OBED,LOUIS,GERMAIN,OBED LOUIS GERMAIN,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,10,2004,18,RODRIGUE ANGE,4,DIVORCED,10,M,8007099314,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2FP499829763,ROSINE,,SHYAKA,ROSINE  SHYAKA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,3,1930,15,RODRIGUE ANGE,6,NEVER MARRIED,3,F,8007099314,-2.584035129,29.83699636,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2GD566899259,JOSEE,BAKHITA,UWIZEYIMANA,JOSEE BAKHITA UWIZEYIMANA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,9,1962,60,RODRIGUE ANGE,6,NEVER MARRIED,2,F,8007099314,-2.584035129,29.83699636,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2JL058378386,GAEL,,,GAEL  ,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,7,2009,13,RODRIGUE ANGE,6,NEVER MARRIED,3,M,8007099314,-2.584035129,29.83699636,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
7,2KP260446094,ANITHA,,KAYITARE,ANITHA  KAYITARE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,12,1938,86,DERRICK SYLVESTRE,7,WIDOWED,9,F,1579654132,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
7,2ZF944688402,GABLIEL,,KAREMERA,GABLIEL  KAREMERA,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,7,1926,96,DERRICK SYLVESTRE,5,SEPARATED,11,M,1579654132,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
7,36M147486551,DERRICK,,SYLVESTRE,DERRICK  SYLVESTRE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,,1924,98,DERRICK SYLVESTRE,3,LIVE IN A POLYGAMOUS UNION,3,M,1579654132,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
7,3BJ127540951,JEAN,FRANCOIS,ELIAS,JEAN FRANCOIS ELIAS,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,1,1978,45,DERRICK SYLVESTRE,5,SEPARATED,4,M,1579654132,-2.256837038,30.65054584,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
8,3KY581042298,CLAUDINE,,HABYARIMANA,CLAUDINE  HABYARIMANA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,11,1989,33,DIVINE NIYONSABA,5,SEPARATED,10,F,6496777626,-2.704892921,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA
8,3OF723803597,JOSEE,,NKUSI,JOSEE  NKUSI,SOUTH,HUYE,KIGOMA,KABATWA,BUREMERA,,1992,30,DIVINE NIYONSABA,,,11,F,6496777626,-2.704892921,29.02596462,RWANDA HUYE KIGOMA KABATWA BUREMERA,KABATWABUREMERA,HUYEKIGOMA
8,3OF723803597,JOSEE,,NKUSI,JOSEE  NKUSI,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,6,1992,30,DIVINE NIYONSABA,3,LIVE IN A POLYGAMOUS UNION,11,F,6496777626,-2.704892921,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA
8,3S1381142711,DIVINE,,NIYONSABA,DIVINE  NIYONSABA,KIGALI,KICUKIRO,MASAKA,GAKO,GIHUKE,,1969,53,DIVINE NIYONSABA,5,SEPARATED,,F,6496777626,-2.704892921,29.02596462,RWANDA KICUKIRO MASAKA GAKO GIHUKE,GAKOGIHUKE,KICUKIROMASAKA
8,3S1381142711,DIVINE,,NIYONSABA,DIVINE  NIYONSABA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,3,1969,54,DIVINE NIYONSABA,5,SEPARATED,13,F,,-2.704892921,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA
9,3ZP934504863,HABY,,MUNYANEZA,HABY  MUNYANEZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,3,1957,65,HABY MUNYANEZA,4,DIVORCED,9,M,1749166998,-1.956647295,30.05535943,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
12,4SW879532625,AMAH,,GATO,AMAH  GATO,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,12,1974,48,MUSHIMIYIMANA KAMANZI,4,DIVORCED,1,F,4513594260,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
12,4UP543875428,DIMER,,THEOPHILE,DIMER  THEOPHILE,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,9,,20,MUSHIMIYIMANA KAMANZI,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3,M,4513594260,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
12,4VJ633973504,JAMES,,SONGA,JAMES  SONGA,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,4,1999,23,MUSHIMIYIMANA KAMANZI,,,5,M,4513594260,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
12,53N540090152,MUSHIMIYIMANA,,KAMANZI,MUSHIMIYIMANA  KAMANZI,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,GAKOMBE,11,1926,99,MUSHIMIYIMANA KAMANZI,4,DIVORCED,10,M,4513594260,-2.65293963,29.69227367,RWANDA HUYE GISHAMVU RYAKIBOGO GAKOMBE,RYAKIBOGOGAKOMBE,HUYEGISHAMVU
13,5HW484497890,KEVIN,,OLIVIER,KEVIN  OLIVIER,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,10,1986,36,NKURUNZIZA KARANGWA,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,2,,8737499840,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
13,5LG388881446,PACY,,NDAYISABA,PACY  NDAYISABA,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,6,1977,45,NKURUNZIZA KARANGWA,7,WIDOWED,,M,8737499840,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
13,5SL201853858,NDABARINZE,,FRANCOIS,NDABARINZE  FRANCOIS,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,,2010,12,NKURUNZIZA KARANGWA,6,NEVER MARRIED,5,M,8737499840,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
13,5VE057493960,NKURUNZIZA,,KARANGWA,NKURUNZIZA  KARANGWA,EAST,GATSIBO,GASANGE,KIMANA,KAGARAMA,10,1976,46,NKURUNZIZA KARANGWA,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3,M,8737499840,-1.807385309,30.29610507,RWANDA GATSIBO GASANGE KIMANA KAGARAMA,KIMANAKAGARAMA,GATSIBOGASANGE
15,6QZ002898676,GLORIA,,MUHIRE,GLORIA  MUHIRE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,12,2009,13,MUNEZERO KALISA,6,NEVER MARRIED,12,F,3978297179,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
15,6TS583082885,MUNEZERO,,KALISA,MUNEZERO  KALISA,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,,1927,29,MUNEZERO KALISA,5,SEPARATED,4,M,3978297179,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
15,6UJ306854143,JULIUS,,ETIENNE,JULIUS  ETIENNE,KIGALI,KICUKIRO,GAHANGA,GAHANGA,GATOVU,,1998,26,MUNEZERO KALISA,5,SEPARATED,6,M,3978297179,-1.590711596,29.55708731,RWANDA KICUKIRO GAHANGA GAHANGA GATOVU,GAHANGAGATOVU,KICUKIROGAHANGA
16,6XB907569292,MBONYINSHUTI,,HABINEZA,MBONYINSHUTI  HABINEZA,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,,2021,4,VINCENT MUREKATETE,6,NEVER MARRIED,5,M,5862489732,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
16,7GA448953578,,,MUREKATETE,  MUREKATETE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,,,56,VINCENT MUREKATETE,7,WIDOWED,7,M,5862489732,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
16,7HF019939250,ETE,ELE,GRACE,ETE ELE GRACE,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,1,1974,48,VINCENT MUREKATETE,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,3,M,5862489732,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
16,7IV820457456,DIOCLES,,SAM,DIOCLES  SAM,SOUTH,NYANZA,BUSASAMANA,KAVUMU,AKIRABO,,,15,VINCENT MUREKATETE,6,NEVER MARRIED,4,M,5862489732,-2.359137573,29.7509132,RWANDA NYANZA BUSASAMANA KAVUMU AKIRABO,KAVUMUAKIRABO,NYANZABUSASAMANA
17,7JV544732594,CHRITE,CLAUD,MUHOZA,CHRITE CLAUD MUHOZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,8,1961,61,ALICE MUGABE,3,LIVE IN A POLYGAMOUS UNION,2,M,,-1.955065829,30.05469278,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
17,7KZ682171735,SONIA,,MUKESHIMANA,SONIA  MUKESHIMANA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,5,1968,54,ALICE MUGABE,4,DIVORCED,,M,,-1.955065829,30.05469278,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
17,7RH706674959,ALICE,,MUGABE,ALICE  MUGABE,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,5,2020,88,ALICE MUGABE,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,4,F,,-1.955065829,30.05469278,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA
18,7V6783789155,FABRICE,,ERASTE,FABRICE  ERASTE,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,9,,60,JOSE MOHAMED,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,13,M,8547963669,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
18,7XC490828730,JOSE,,MOHAMED,JOSE  MOHAMED,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,8,1929,64,JOSE MOHAMED,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,12,F,8547963669,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
18,87P391881977,KARAHA,,,KARAHA  ,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,,1999,53,JOSE MOHAMED,6,NEVER MARRIED,12,M,8547963669,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
18,8DY642485579,IMMACULEE,,MUVUNYI,IMMACULEE  MUVUNYI,WEST,KARONGI,GASHARI,BIRAMBO,NYABIKENKE,,,16,JOSE MOHAMED,6,NEVER MARRIED,8,F,8547963669,-2.169585553,30.06711131,RWANDA KARONGI GASHARI BIRAMBO NYABIKENKE,BIRAMBONYABIKENKE,KARONGIGASHARI
18,8DY642485579,IMMACULEE,,,IMMACULEE  ,SOUTH,NYARUGURU,MUGANZA,RUKORE,KANAZI,,2006,16,JOSE MOHAMED,6,NEVER MARRIED,8,F,8547963669,-2.169585553,30.06711131,RWANDA NYARUGURU MUGANZA RUKORE KANAZI,RUKOREKANAZI,NYARUGURUMUGANZA
19,8EE128541166,NIYONYUGURA,,JUDITH,NIYONYUGURA  JUDITH,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,,1941,82,NADEGE HAKIZIMANA,7,WIDOWED,3,F,1316636107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
19,8HE474162659,NHMIE,SAMUE,NIYONSABA,NHMIE SAMUE NIYONSABA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,3,2020,2,NADEGE HAKIZIMANA,6,NEVER MARRIED,5,M,1316636107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
19,8K6946221121,NADEGE,,HAKIZIMANA,NADEGE  HAKIZIMANA,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,6,1923,99,NADEGE HAKIZIMANA,,,,F,1316636107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
19,8L8228203851,TOM,RICHAR,NKUSI,TOM RICHAR NKUSI,EAST,BUGESERA,GASHORA,KAGOMASI,KIRUHURA,,,79,NADEGE HAKIZIMANA,7,WIDOWED,6,M,1316636107,-2.216782578,30.03588724,RWANDA BUGESERA GASHORA KAGOMASI KIRUHURA,KAGOMASIKIRUHURA,BUGESERAGASHORA
20,8PT539952460,EVO,,MUKESHIMANA,EVO  MUKESHIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,,1993,29,GLADYS RUKUNDO,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,11,M,8082130004,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
20,8QM252146807,MUTABAZI,,MATABARO,MUTABAZI  MATABARO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,,2010,12,GLADYS RUKUNDO,6,NEVER MARRIED,10,M,8082130004,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
20,8RG640390691,GLADYS,,RUKUNDO,GLADYS  RUKUNDO,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,11,2006,54,GLADYS RUKUNDO,3,LIVE IN A POLYGAMOUS UNION,9,F,8082130004,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
20,8YN352907501,VINCENT,,UWIZEYIMANA,VINCENT  UWIZEYIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,KAMPURO,,2007,25,GLADYS RUKUNDO,7,WIDOWED,6,M,8082130004,-2.028141051,30.1042902,RWANDA KICUKIRO GAHANGA MURINJA KAMPURO,MURINJAKAMPURO,KICUKIROGAHANGA
21,95E745534607,NTWALI,,MBABAZI,NTWALI  MBABAZI,NORTH,BURERA,BUTARO,MUHOTORA,GAHUNGE,,2003,19,AMANI UMUTESI,3,LIVE IN A POLYGAMOUS UNION,3,M,9199909382,-1.404542878,29.84082536,RWANDA BURERA BUTARO MUHOTORA GAHUNGE,MUHOTORAGAHUNGE,BURERABUTARO
21,9HX437821826,THACIENNE,,KWIZERA,THACIENNE  KWIZERA,NORTH,BURERA,BUTARO,MUHOTORA,GAHUNGE,7,2015,10,AMANI UMUTESI,6,NEVER MARRIED,5,F,9199909382,-1.404542878,29.84082536,RWANDA BURERA BUTARO MUHOTORA GAHUNGE,MUHOTORAGAHUNGE,BURERABUTARO
21,9JR791868790,AMANI,,UMUTESI,AMANI  UMUTESI,NORTH,BURERA,BUTARO,MUHOTORA,GAHUNGE,6,,47,AMANI UMUTESI,,,,M,9199909382,-1.404542878,29.84082536,RWANDA BURERA BUTARO MUHOTORA GAHUNGE,MUHOTORAGAHUNGE,BURERABUTARO
22,9MN971833804,GIANNA,,UWASE,GIANNA  UWASE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,,1973,49,AKIMA KAYITESI,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5,F,1781879139,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
22,9RN477700217,BENITHA,,DUSABE,BENITHA  DUSABE,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,11,,21,AKIMA KAYITESI,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,11,F,1781879139,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
22,9TW900288132,KALISA,,HATEGEKIMANA,KALISA  HATEGEKIMANA,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,2,2019,3,AKIMA KAYITESI,6,NEVER MARRIED,,F,1781879139,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
22,9UM519028608,AKIMA,,KAYITESI,AKIMA  KAYITESI,KIGALI,KICUKIRO,GAHANGA,MURINJA,NYAMUHARAZA,7,1925,97,AKIMA KAYITESI,7,WIDOWED,8,M,1781879139,-2.044546774,30.10628378,RWANDA KICUKIRO GAHANGA MURINJA NYAMUHARAZA,MURINJANYAMUHARAZA,KICUKIROGAHANGA
23,9WJ374083701,ELVIN,,UWINEZA,ELVIN  UWINEZA,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,7,,44,HUNGURIMANA MAURICE,6,NEVER MARRIED,8,F,8502045069,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA
23,A0F522970138,DOGRATIAS,VINCENT,MICHEL,DOGRATIAS VINCENT MICHEL,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,9,2002,21,HUNGURIMANA MAURICE,5,SEPARATED,5,M,8502045069,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA
23,A28701491679,HUNGURIMANA,,MAURICE,HUNGURIMANA  MAURICE,NORTH,GICUMBI,SHANGASHA,SHANGASHA,KAJYANJYALI,,1974,76,HUNGURIMANA MAURICE,5,SEPARATED,11,M,8502045069,-1.527810675,30.06066646,RWANDA GICUMBI SHANGASHA SHANGASHA KAJYANJYALI,SHANGASHAKAJYANJYALI,GICUMBISHANGASHA
